Dummy,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,Month,Day,Year,Age_since_renovated,wavefront,price
1,-0.38854421219385604,-1.465704895075494,-1.1591821690761555,-0.17114947377883227,-0.9223900711762146,-0.3045064690536226,-0.6342238282298317,-0.5630504414214826,-0.9242633702183357,-0.6626172511859322,-0.5094168970745973,-0.20444960582869262,0.5123105748439916,-0.30900764250860635,-0.9328376451747796,-1.018567168179257,-0.18565547255065418,-0.5137683499378911,0.6004604417534735,-0.6822535205300174,0.5878396875727108,0,2.18
1,-0.38854421219385604,0.16916852738957258,0.14501231626204616,-0.168143051700701,0.9177896219434156,-0.3045064690536226,0.8889796019228715,0.29037955694378115,0.5071221466703061,-0.6626172511859322,-0.06840002122544661,-0.20444960582869262,-1.040698536177574,-1.816745572902529,-1.1797068590792625,0.004058545802364627,-0.1625177665831423,-0.19338899071245433,-0.7937638274044285,-0.6822535205300174,0.13786524616393483,0,2.5025
1,0.6499969497008482,0.4961432118825859,0.29844696159595224,-0.21980101836065508,0.9177896219434156,-0.3045064690536226,-0.6342238282298317,0.29037955694378115,0.6755204427748521,-0.6626172511859322,1.085028730995409,-0.20444960582869262,-0.6851904264256494,-1.5216906381986366,0.42846973435577135,1.494170300461299,-0.2383277796649312,-1.4749064276142014,0.251904374463998,1.4657308022727111,-1.0043775666429577,0,2.7
1,-0.38854421219385604,-0.8117555260894673,-0.45776664754972773,-0.244496628288162,0.9177896219434156,-0.3045064690536226,-0.6342238282298317,0.29037955694378115,-0.15444258802612498,-0.6626172511859322,-2.1717112752752423,-0.20444960582869262,0.7555529657268873,0.5400868761869291,-1.017478518513471,-0.43420961733261604,-0.2986219193332122,-0.5137683499378911,0.716645797516632,-0.6822535205300174,2.283897197498097,0,9.263
1,-0.38854421219385604,0.4961432118825859,0.3642046667390548,-0.12242634771895874,0.9177896219434156,-0.3045064690536226,0.8889796019228715,1.9972395536743088,0.7476911411053719,-0.6626172511859322,0.610087480080939,-0.20444960582869262,-0.49808089497726804,0.9433526671391952,0.7811400399337184,0.47154458647967734,-0.15530424648738858,0.7677490869638561,-1.2585052504570624,-0.6822535205300174,-0.5544031252341819,0,7.0
1,0.6499969497008482,0.4961432118825859,0.17789116883359746,-0.26298851011793767,-0.9223900711762146,2.3549386755195005,-0.6342238282298317,-0.5630504414214826,-0.64760902661801,1.6049951725404012,-1.5271481490341758,4.914673478803238,0.6807091531475348,0.8762619362652342,-0.6859684312702968,-0.8870867192387627,-0.31563493842697093,0.12699036851298248,1.413757932095583,-0.6822535205300174,-1.1082178223526753,0,6.3
1,-1.4270853740885603,-1.465704895075494,-1.3893341370770147,-0.2435899295661859,-0.9223900711762146,-0.3045064690536226,-0.6342238282298317,-2.2699104381520105,-1.1768608143751549,-0.6626172511859322,-1.1200556482503443,-0.20444960582869262,-0.44194803554275364,-0.5009015609223448,0.07579942877792449,-1.6029247190258977,-0.2701080993320725,1.4085078054147298,-1.4908759619833796,-0.6822535205300174,1.2108812218310159,0,2.3895
1,-0.38854421219385604,0.16916852738957258,-0.6002416753597833,-0.17038593801295768,-0.9223900711762146,-0.3045064690536226,-0.6342238282298317,-0.5630504414214826,-0.7678935238355429,0.20777943670902418,0.3047681044930655,-0.20444960582869262,-0.38581517610823923,-0.8551117637086951,0.5483776382523174,-0.7702152090694345,-0.16677102135658198,-1.4749064276142014,-0.7937638274044285,1.4657308022727111,-0.20826893953512354,0,3.15
1,-0.38854421219385604,-0.15780615710344073,-0.39200894240662515,2.696690862846202,-0.9223900711762146,-0.3045064690536226,-0.6342238282298317,-0.5630504414214826,-0.08227188969560523,-0.6626172511859322,0.7797093554075355,-0.20444960582869262,-0.9658547235982216,-0.805334769834433,1.641655585543713,0.5445892803355075,3.3448181977097833,0.4473697277384193,1.2975725763324244,-0.6822535205300174,-0.727470218083711,0,4.27
1,0.6499969497008482,0.4961432118825859,0.45188160692985835,-0.17544436246187697,0.9177896219434156,-0.3045064690536226,-0.6342238282298317,0.29037955694378115,0.8439187388793983,-0.6626172511859322,0.5422387299503005,-0.20444960582869262,-0.9284328173085452,0.04808818311102714,1.3947863716391298,0.22319262736985496,-0.15823048577151508,-0.5137683499378911,-1.142319894693904,1.4657308022727111,-0.4505628695244644,0,7.0
